ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
510300.SH,20210104,5.287,5.28,5.366,5.26,5.334,0.047,0.889,5067056.39,2697192.786
510300.SH,20210105,5.334,5.321,5.445,5.305,5.433,0.099,1.856,6228307.94,3349890.567
510300.SH,20210106,5.433,5.447,5.514,5.417,5.482,0.049,0.9019,3749451.07,2048972.312
510300.SH,20210107,5.482,5.49,5.6,5.483,5.599,0.117,2.1343,4706592.27,2604546.537
510300.SH,20210108,5.599,5.608,5.631,5.519,5.571,-0.028,-0.5001,6975647.67,3884322.786
510300.SH,20210111,5.571,5.572,5.62,5.477,5.508,-0.063,-1.1309,6359651.63,3536919.284
510300.SH,20210112,5.508,5.496,5.672,5.492,5.668,0.16,2.9049,5962807.82,3327361.996
510300.SH,20210113,5.668,5.684,5.715,5.61,5.646,-0.022,-0.3881,5524343.98,3129878.571
510300.SH,20210114,5.646,5.646,5.646,5.538,5.543,-0.103,-1.8243,6960479.94,3885747.946
510300.SH,20210115,5.543,5.543,5.576,5.46,5.526,-0.017,-0.3067,7090491.77,3916989.378
510300.SH,20210118,5.454,5.451,5.547,5.415,5.513,0.059,1.0818,3967685.53,2176480.901
510300.SH,20210119,5.513,5.518,5.53,5.416,5.438,-0.075,-1.3604,4170096.72,2282323.327
510300.SH,20210120,5.438,5.436,5.495,5.43,5.468,0.03,0.5517,4223857.51,2307751.582
510300.SH,20210121,5.468,5.483,5.588,5.483,5.562,0.094,1.7191,5116203.15,2833318.057
510300.SH,20210122,5.562,5.557,5.57,5.506,5.565,0.003,0.0539,5543093.26,3074483.608
510300.SH,20210125,5.565,5.564,5.649,5.531,5.631,0.066,1.186,4501771.53,2518875.353
510300.SH,20210126,5.631,5.607,5.61,5.503,5.511,-0.12,-2.1311,3927449.95,2175771.665
510300.SH,20210127,5.511,5.505,5.532,5.45,5.521,0.01,0.1815,5915415.91,3252544.454
510300.SH,20210128,5.521,5.46,5.46,5.364,5.385,-0.136,-2.4633,4699518.45,2541914.763
510300.SH,20210129,5.385,5.407,5.423,5.282,5.348,-0.037,-0.6871,6221138.74,3343269.149
510300.SH,20210201,5.348,5.348,5.414,5.346,5.411,0.063,1.178,4362880.63,2352426.025
510300.SH,20210202,5.411,5.42,5.494,5.411,5.491,0.08,1.4785,5731569.21,3133181.944
510300.SH,20210203,5.491,5.491,5.525,5.464,5.485,-0.006,-0.1093,2819694.88,1549207.312
510300.SH,20210204,5.485,5.46,5.51,5.416,5.474,-0.011,-0.2005,3000841.5,1639395.452
510300.SH,20210205,5.474,5.486,5.547,5.476,5.482,0.008,0.1461,5600004.91,3085296.672
510300.SH,20210208,5.482,5.52,5.573,5.482,5.554,0.072,1.3134,4750134.28,2628084.266
510300.SH,20210209,5.554,5.575,5.694,5.55,5.692,0.138,2.4847,4182998.45,2349537.935
510300.SH,20210210,5.692,5.706,5.833,5.697,5.807,0.115,2.0204,3419098.57,1973984.357
510300.SH,20210218,5.807,5.923,5.933,5.748,5.764,-0.043,-0.7405,4707657.36,2747359.954
510300.SH,20210219,5.764,5.742,5.801,5.671,5.796,0.032,0.5552,7090646.5,4060011.755
510300.SH,20210222,5.796,5.785,5.786,5.584,5.589,-0.207,-3.5714,7760759.91,4399449.17
510300.SH,20210223,5.589,5.55,5.637,5.547,5.574,-0.015,-0.2684,5912503.64,3308715.193
510300.SH,20210224,5.574,5.588,5.6,5.371,5.427,-0.147,-2.6372,10112690.33,5539235.696
510300.SH,20210225,5.427,5.481,5.523,5.442,5.478,0.051,0.9397,6693054.38,3670095.572
510300.SH,20210226,5.478,5.389,5.42,5.321,5.329,-0.149,-2.72,8370703.36,4486159.733
510300.SH,20210301,5.329,5.381,5.42,5.348,5.418,0.089,1.6701,5582085.4,3007992.81
510300.SH,20210302,5.418,5.446,5.451,5.307,5.349,-0.069,-1.2735,4338597.54,2338148.827
