datetime,open,high,low,close,volume,Market Cap
2018/2/20,11231.8,11958.5,11231.8,11403.7,9926.54,189536000000.00
2018/2/19,10552.6,11273.8,10513.2,11225.3,7652.09,178055000000.00
2018/2/18,11123.4,11349.8,10326,10551.8,8744.01,187663000000.00
2018/2/17,10207.5,11139.5,10149.4,11112.7,8660.88,172191000000.00
2018/2/16,10135.7,10324.1,9824.82,10233.9,7296.16,170960000000.00
2018/2/15,9488.32,10234.8,9395.58,10166.4,9062.54,160025000000.00
2018/2/14,8599.92,9518.54,8599.92,9494.63,7909.82,145023000000.00
2018/2/13,8926.72,8958.47,8455.41,8598.31,5696.72,150516000000.00
2018/2/12,8141.43,8985.92,8141.43,8926.57,6256.44,137258000000.00
2018/2/11,8616.13,8616.13,7931.1,8129.97,6122.19,145245000000.00
2018/2/10,8720.08,9122.55,8295.47,8621.9,7780.96,146981000000.00
2018/2/9,8271.84,8736.98,7884.71,8736.98,6784.82,139412000000.00
2018/2/8,7637.86,8558.77,7637.86,8265.59,9346.75,128714000000.00
2018/2/7,7755.49,8509.11,7236.79,7621.3,9169.28,130683000000.00
2018/2/6,7051.75,7850.7,6048.26,7754,13999.8,118810000000.00
2018/2/5,8270.54,8364.84,6756.68,6955.27,9285.29,139325000000.00
2018/2/4,9175.7,9334.87,8031.22,8277.01,7073.55,154553000000.00
2018/2/3,8852.12,9430.75,8251.63,9174.91,7263.79,149085000000.00
2018/2/2,9142.28,9142.28,7796.49,8830.75,12726.9,153953000000.00
2018/2/1,10237.3,10288.8,8812.28,9170.54,9959.4,172372000000.00
2018/1/31,10108.2,10381.6,9777.42,10221.1,8041.16,170183000000.00
2018/1/30,11306.8,11307.2,10036.2,10106.3,8637.86,190339000000.00
2018/1/29,11755.5,11875.6,11179.2,11296.4,7107.36,197871000000.00
2018/1/28,11475.3,12040.3,11475.3,11786.3,8350.36,193133000000.00
2018/1/27,11174.9,11614.9,10989.2,11440.7,7583.27,188054000000.00
2018/1/26,11256,11656.7,10470.3,11171.4,9746.2,189398000000.00
2018/1/25,11421.7,11785.7,11057.4,11259.4,8873.17,192163000000.00
2018/1/24,10903.4,11501.4,10639.8,11359.4,9940.99,183419000000.00
2018/1/23,10944.5,11377.6,10129.7,10868.4,9660.61,184087000000.00
2018/1/22,11633.1,11966.4,10240.2,10931.4,10537.4,195645000000.00
2018/1/21,12889.2,12895.9,11288.2,11600.1,9935.18,216740000000.00
2018/1/20,11656.2,13103,11656.2,12899.2,11801.7,195979000000.00
2018/1/19,11429.8,11992.8,11172.1,11607.4,10740.4,192150000000.00
2018/1/18,11198.8,12107.3,10942.5,11474.9,15020.4,188242000000.00
2018/1/17,11431.1,11678,9402.29,11188.6,18830.6,192123000000.00
2018/1/16,13836.1,13843.1,10194.9,11490.5,18853.8,232517000000.00
2018/1/15,13767.3,14445.5,13641.7,13819.8,12750.8,231334000000.00
2018/1/14,14370.8,14511.8,13268,13772,11084.1,241447000000.00
2018/1/13,13952.4,14659.5,13952.4,14360.2,12763.6,234391000000.00
2018/1/12,13453.9,14229.9,13158.1,13980.6,12065.7,225986000000.00
2018/1/11,14968.2,15018.8,13105.9,13405.8,16534.1,251387000000.00
2018/1/10,14588.5,14973.3,13691.2,14973.3,18500.8,244981000000.00
2018/1/9,15123.7,15497.5,14424,14595.4,16660,253935000000.00
2018/1/8,16476.2,16537.9,14208.2,15170.1,18413.9,276612000000.00
2018/1/7,17527.3,17579.6,16087.7,16477.6,15866,294222000000.00
2018/1/6,17462.1,17712.4,16764.6,17527,18314.6,293091000000.00
2018/1/5,15477.2,17705.2,15202.8,17429.5,23840.9,259748000000.00
2018/1/4,15270.7,15739.7,14522.2,15599.2,21783.2,256250000000.00
2018/1/3,14978.2,15572.8,14844.5,15201,16871.9,251312000000.00
2018/1/2,13625,15444.6,13163.6,14982.1,16846.6,228579000000.00
2018/1/1,14112.2,14112.2,13154.7,13657.2,10291.2,236725000000.00
2017/12/31,12897.7,14377.4,12755.6,14156.4,12136.3,216326000000.00
2017/12/30,14681.9,14681.9,12350.1,12952.2,14452.6,246224000000.00
2017/12/29,14695.8,15279,14307,14656.2,13025.5,246428000000.00
2017/12/28,15864.1,15888.4,13937.3,14606.5,12336.5,265988000000.00
2017/12/27,16163.5,16930.9,15114.3,15838.5,12487.6,270976000000.00
2017/12/26,14036.6,16461.2,14028.9,16099.8,13454.3,235294000000.00
2017/12/25,13995.9,14593,13448.9,14026.6,10664.7,234590000000.00
2017/12/24,14608.2,14626,12747.7,13925.8,11572.3,244824000000.00
2017/12/23,13948.7,15603.2,13828.8,14699.2,13086,233748000000.00
2017/12/22,15898,15943.4,11833,13831.8,22198,266381000000.00
2017/12/21,16642.4,17567.7,15342.7,15802.9,16516.6,278827000000.00
2017/12/20,17760.3,17934.7,16077.7,16624.6,22149.7,297526000000.00
2017/12/19,19118.3,19177.8,17275.4,17776.7,16894.5,320242000000.00
2017/12/18,19106.4,19371,18355.9,19114.2,14839.5,320000000000.00
2017/12/17,19475.8,20089,18974.1,19140.8,13314.6,326141000000.00
2017/12/16,17760.3,19716.7,17515.3,19497.4,12740.6,297376000000.00
2017/12/15,16601.3,18154.1,16601.3,17706.9,14310,277936000000.00
2017/12/14,16384.6,17085.8,16185.9,16564,13777.4,274269000000.00
2017/12/13,17500,17653.1,16039.7,16408.2,12976.9,292900000000.00
2017/12/12,16919.8,17781.8,16571.6,17415.4,14603.8,283155000000.00
2017/12/11,15427.4,17513.9,15404.8,16936.8,12153.9,258147000000.00
2017/12/10,15168.4,15850.6,13226.6,15455.4,13433.3,253782000000.00
2017/12/9,16523.3,16783,13674.9,15178.2,13911.3,276415000000.00
2017/12/8,17802.9,18353.4,14336.9,16569.4,21136,297787000000.00
2017/12/7,14266.1,17899.7,14057.3,17899.7,17950.7,238600000000.00
2017/12/6,11923.4,14369.1,11923.4,14291.5,12656.3,199390000000.00
2017/12/5,11685.7,12032,11604.6,11916.7,6895.26,195389000000.00
2017/12/4,11315.4,11657.2,11081.8,11657.2,6132.41,189172000000.00
2017/12/3,11082.7,11858.7,10862,11323.2,6608.31,185258000000.00
2017/12/2,10978.3,11320.2,10905.1,11074.6,5138.5,183490000000.00
2017/12/1,10198.6,11046.7,9694.65,10975.6,6783.12,170436000000.00
2017/11/30,9906.79,10801,9202.05,10233.6,8310.69,165537000000.00
2017/11/29,10077.4,11517.4,9601.03,9888.61,11568.8,168367000000.00
2017/11/28,9823.43,10125.7,9736.3,10058.8,6348.82,164104000000.00
2017/11/27,9352.72,9818.35,9352.72,9818.35,5653.32,156221000000.00
2017/11/26,8789.04,9522.93,8775.59,9330.55,5475.58,146789000000.00
2017/11/25,8241.71,8790.92,8191.15,8790.92,4342.06,137632000000.00
2017/11/24,8074.02,8374.16,7940.93,8253.69,5058.61,134816000000.00
2017/11/23,8232.38,8267.4,8038.77,8038.77,4225.18,137444000000.00
2017/11/22,8077.95,8302.26,8075.47,8253.55,3633.53,134851000000.00
2017/11/21,8205.74,8348.66,7762.71,8071.26,4277.61,136967000000.00
2017/11/20,8039.07,8336.86,7949.36,8200.64,3488.45,134167000000.00
2017/11/19,7766.03,8101.91,7694.1,8036.49,3149.32,129595000000.00
2017/11/18,7697.21,7884.99,7463.44,7790.15,3667.19,128425000000.00
2017/11/17,7853.57,8004.59,7561.09,7708.99,4651.67,131026000000.00
2017/11/16,7323.24,7967.38,7176.58,7871.69,5123.81,122164000000.00
2017/11/15,6634.76,7342.25,6634.76,7315.54,4200.88,110667000000.00
2017/11/14,6561.48,6764.98,6461.75,6635.75,3197.11,109434000000.00
2017/11/13,5938.25,6811.19,5844.29,6559.49,6263.25,99029000000
2017/11/12,6295.45,6625.05,5519.01,5950.07,8957.35,104980000000.00
2017/11/11,6618.61,6873.15,6204.22,6357.6,4908.68,110362000000.00
2017/11/10,7173.73,7312,6436.87,6618.14,5208.25,119607000000.00
2017/11/9,7446.83,7446.83,7101.52,7143.58,3226.25,124146000000.00
2017/11/8,7141.38,7776.42,7114.02,7459.69,4602.2,119041000000.00
2017/11/7,7023.1,7253.32,7023.1,7144.38,2326.34,117056000000.00
2017/11/6,7403.22,7445.77,7007.31,7022.76,3111.9,123379000000.00
2017/11/5,7404.52,7617.48,7333.19,7407.41,2380.41,123388000000.00
2017/11/4,7164.48,7492.86,7031.28,7379.95,2483.8,119376000000.00
2017/11/3,7087.53,7461.29,7002.94,7207.76,3369.86,118084000000.00
2017/11/2,6777.77,7367.33,6758.72,7078.5,4653.77,112910000000.00
2017/11/1,6440.97,6767.31,6377.88,6767.31,2870.32,107287000000.00
2017/10/31,6132.02,6470.43,6103.33,6468.4,2311.38,102130000000.00
2017/10/30,6114.85,6214.99,6040.85,6130.53,1772.15,101833000000.00
2017/10/29,5754.44,6255.71,5724.58,6153.85,2859.04,95819800000
2017/10/28,5787.82,5876.72,5689.19,5753.09,1403.92,96369600000
2017/10/27,5899.74,5988.39,5728.82,5780.9,1710.13,98225400000
2017/10/26,5747.95,5976.8,5721.22,5904.83,1905.04,95685100000
2017/10/25,5524.6,5754.33,5397.88,5750.8,1966.99,91954200000
2017/10/24,5935.52,5935.52,5504.18,5526.64,2735.7,98781600000
2017/10/23,6006,6075.59,5732.47,5930.32,2401.84,99941600000
2017/10/22,6036.66,6076.26,5792.34,6008.42,2034.63,100438000000.00
2017/10/21,5996.79,6194.88,5965.07,6031.6,2207.1,99763200000
2017/10/20,5708.11,6060.11,5627.23,6011.45,2354.43,94947900000
2017/10/19,5583.74,5744.35,5531.06,5708.52,1780.54,92867000000
2017/10/18,5603.82,5603.82,5151.44,5590.69,2399.27,93190200000
2017/10/17,5741.58,5800.35,5472.72,5605.51,1821.57,95469300000
2017/10/16,5687.57,5776.23,5544.21,5725.59,2008.07,94559000000
2017/10/15,5835.96,5852.48,5478.61,5678.19,1976.04,97011900000
2017/10/14,5643.53,5837.7,5591.64,5831.79,1669.03,93803000000
2017/10/13,5464.16,5840.3,5436.85,5647.21,3615.48,90812400000
2017/10/12,4829.58,5446.91,4822,5446.91,2791.61,80256700000
2017/10/11,4789.25,4873.73,4751.63,4826.48,1222.28,79578200000
2017/10/10,4776.21,4922.17,4765.1,4781.99,1597.14,79351800000
2017/10/9,4614.52,4878.71,4564.25,4772.02,1968.74,76656500000
2017/10/8,4429.67,4624.14,4405.64,4610.48,1313.87,73575400000
2017/10/7,4369.35,4443.88,4321.05,4426.89,906.928,72565100000
2017/10/6,4324.46,4413.27,4320.53,4370.81,1069.94,71810600000
2017/10/5,4229.88,4362.64,4164.05,4328.41,1161.77,70233700000
2017/10/4,4319.37,4352.31,4210.42,4229.36,1116.77,71712500000
2017/10/3,4408.46,4432.47,4258.89,4317.48,1288.02,73181300000
2017/10/2,4395.81,4470.23,4377.46,4409.32,1431.73,72963200000
2017/10/1,4341.05,4403.74,4269.81,4403.74,1208.21,72047300000
2017/9/30,4166.11,4358.43,4160.86,4338.71,1207.45,69136600000
2017/9/29,4171.62,4214.63,4039.29,4163.07,1367.05,69219200000
2017/9/28,4197.13,4279.31,4109.7,4174.73,1712.32,69633200000
2017/9/27,3892.94,4210.05,3884.82,4200.67,1686.88,64579200000
2017/9/26,3928.41,3969.89,3869.9,3892.35,1043.74,65161000000
2017/9/25,3681.58,3950.25,3681.58,3926.07,1374.21,61061100000
2017/9/24,3796.15,3796.15,3666.9,3682.84,768.015,62954300000
2017/9/23,3629.92,3819.21,3594.58,3792.4,928.114,60190000000
2017/9/22,3628.02,3758.27,3553.53,3630.7,1194.83,60152300000
2017/9/21,3901.47,3916.42,3613.63,3631.04,1411.48,64677600000
2017/9/20,3916.36,4031.39,3857.73,3905.95,1213.83,64918500000
2017/9/19,4073.79,4094.07,3868.87,3924.97,1563.98,67520300000
2017/9/18,3591.09,4079.23,3591.09,4065.2,1943.21,59514100000
2017/9/17,3606.28,3664.81,3445.64,3582.88,1239.15,59757800000
2017/9/16,3637.75,3808.84,3487.79,3625.04,1818.4,60271600000
2017/9/15,3166.3,3733.45,2946.62,3637.52,4148.07,52453500000
2017/9/14,3875.37,3920.6,3153.86,3154.95,2716.31,64191600000
2017/9/13,4131.98,4131.98,3789.92,3882.59,2219.41,68432200000
2017/9/12,4168.88,4344.65,4085.22,4130.81,1864.53,69033400000
2017/9/11,4122.47,4261.67,4099.4,4161.27,1557.33,68256000000
