Step 1: Mean Reward = -0.1000, Balance = 10000000.00
Step 2: Mean Reward = -1.7774, Balance = 10000000.00
Step 3: Mean Reward = -2.3366, Balance = 10000000.00
Step 4: Mean Reward = -2.6161, Balance = 10000000.00
Step 5: Mean Reward = -2.7839, Balance = 10000000.00
Step 6: Mean Reward = -2.8957, Balance = 10000000.00
Step 7: Mean Reward = -2.9756, Balance = 10000000.00
Step 8: Mean Reward = -3.0355, Balance = 10000000.00
Step 9: Mean Reward = -3.0821, Balance = 10000000.00
Step 10: Mean Reward = -3.1194, Balance = 10000000.00
Step 11: Mean Reward = -3.1499, Balance = 10000000.00
Step 12: Mean Reward = -3.1753, Balance = 10000000.00
Step 13: Mean Reward = -3.1968, Balance = 0.00
Step 14: Mean Reward = -3.2152, Balance = 0.00
Step 15: Mean Reward = -3.2312, Balance = 0.00
Step 16: Mean Reward = -3.2452, Balance = 0.00
Step 17: Mean Reward = -3.2575, Balance = 0.00
Step 18: Mean Reward = -3.2685, Balance = 0.00
Step 19: Mean Reward = -3.2783, Balance = 0.00
Step 20: Mean Reward = -3.2871, Balance = 0.00
Step 21: Mean Reward = -3.2951, Balance = 0.00
Step 22: Mean Reward = -3.3024, Balance = 0.00
Step 23: Mean Reward = -3.3090, Balance = 0.00
Step 24: Mean Reward = -3.3151, Balance = 0.00
Step 25: Mean Reward = -3.3207, Balance = 0.00
Step 26: Mean Reward = -3.3258, Balance = 0.00
Step 27: Mean Reward = -3.3306, Balance = 0.00
Step 28: Mean Reward = -3.3350, Balance = 0.00
Step 29: Mean Reward = -3.3392, Balance = 0.00
Step 30: Mean Reward = -3.3430, Balance = 0.00
Step 31: Mean Reward = -3.3466, Balance = 0.00
Step 32: Mean Reward = -3.3500, Balance = 0.00
Step 33: Mean Reward = -3.3532, Balance = 0.00
Step 34: Mean Reward = -3.3562, Balance = 0.00
Step 35: Mean Reward = -3.3590, Balance = 0.00
Step 36: Mean Reward = -3.3617, Balance = 0.00
Step 37: Mean Reward = -3.3642, Balance = 0.00
Step 38: Mean Reward = -3.3666, Balance = 0.00
Step 39: Mean Reward = -3.3688, Balance = 0.00
Step 40: Mean Reward = -3.3710, Balance = 0.00
Step 41: Mean Reward = -3.3730, Balance = 0.00
Step 42: Mean Reward = -3.3750, Balance = 0.00
Step 43: Mean Reward = -3.3768, Balance = 0.00
Step 44: Mean Reward = -3.3786, Balance = 0.00
Step 45: Mean Reward = -3.3803, Balance = 0.00
Step 46: Mean Reward = -3.3819, Balance = 0.00
Step 47: Mean Reward = -3.3835, Balance = 0.00
Step 48: Mean Reward = -3.3850, Balance = 0.00
Step 49: Mean Reward = -3.3864, Balance = 0.00
Step 50: Mean Reward = -3.3878, Balance = 0.00
Step 51: Mean Reward = -3.3891, Balance = 0.00
Step 52: Mean Reward = -3.3903, Balance = 0.00
Step 53: Mean Reward = -3.3916, Balance = 0.00
Step 54: Mean Reward = -3.3927, Balance = 0.00
Step 55: Mean Reward = -3.3939, Balance = 0.00
Step 56: Mean Reward = -3.3950, Balance = 0.00
Step 57: Mean Reward = -3.3960, Balance = 0.00
Step 58: Mean Reward = -3.3970, Balance = 0.00
Step 59: Mean Reward = -3.3980, Balance = 0.00
Step 60: Mean Reward = -3.3989, Balance = 0.00
Step 61: Mean Reward = -3.3999, Balance = 0.00
Step 62: Mean Reward = -3.4008, Balance = 0.00
Step 63: Mean Reward = -3.4016, Balance = 0.00
Step 64: Mean Reward = -3.4024, Balance = 0.00
Step 65: Mean Reward = -3.4032, Balance = 0.00
Step 66: Mean Reward = -3.4040, Balance = 0.00
Step 67: Mean Reward = -3.4048, Balance = 0.00
Step 68: Mean Reward = -3.4055, Balance = 0.00
Step 69: Mean Reward = -3.4062, Balance = 0.00
Step 70: Mean Reward = -3.4069, Balance = 0.00
Step 71: Mean Reward = -3.4076, Balance = 0.00
Step 72: Mean Reward = -3.4083, Balance = 0.00
Step 73: Mean Reward = -3.4089, Balance = 0.00
Step 74: Mean Reward = -3.4095, Balance = 0.00
Step 75: Mean Reward = -3.4101, Balance = 0.00
Step 76: Mean Reward = -3.4107, Balance = 0.00
Step 77: Mean Reward = -3.4113, Balance = 0.00
Step 78: Mean Reward = -3.4119, Balance = 0.00
Step 79: Mean Reward = -3.4124, Balance = 0.00
Step 80: Mean Reward = -3.4129, Balance = 0.00
Step 81: Mean Reward = -3.4134, Balance = 0.00
Step 82: Mean Reward = -3.4139, Balance = 0.00
Step 83: Mean Reward = -3.4144, Balance = 0.00
Step 84: Mean Reward = -3.4149, Balance = 0.00
Step 85: Mean Reward = -3.4154, Balance = 0.00
Step 86: Mean Reward = -3.4159, Balance = 0.00
Step 87: Mean Reward = -3.4163, Balance = 0.00
Step 88: Mean Reward = -3.4167, Balance = 0.00
Step 89: Mean Reward = -3.4172, Balance = 0.00
