steps,rewards,prices,actions
1,-0.005,43905.83,2
2,-0.005,42505.92,2
3,-0.005,43059.96,2
4,0.0,43078.45,1
5,-0.005,43069.51,0
6,0.0,42201.99,1
7,0.0,42352.18,1
8,-0.005,41663.81,2
9,-0.005,40704.32,2
10,-0.005,36455.47,2
11,0.0,35070.35,1
12,-0.005,36251.6,0
13,-0.005,36669.17,2
14,0.0,36950.75,1
15,-0.005,36796.91,2
16,-0.005,37165.95,2
17,-0.005,37716.57,2
18,-0.005,38167.4,2
19,0.0,37896.8,1
20,-0.005,38463.88,2
21,-0.005,38695.22,2
22,-0.005,36893.08,0
23,0.0,37310.29,1
24,0.0,41560.38,1
25,-0.005,41382.6,2
26,-0.005,42381.72,0
27,0.0,43825.72,1
28,-0.005,44032.87,0
29,-0.005,44374.57,0
30,-0.005,43494.01,2
31,0.0,42373.59,1
32,-0.005,42214.01,0
33,0.0,42050.67,1
34,0.0,42531.87,1
35,-0.005,44544.44,2
36,-0.005,43873.96,2
37,-0.005,40512.64,0
38,-0.005,39974.83,2
39,0.0,40080.53,1
40,-0.005,38381.48,2
41,0.0,37011.07,1
42,0.0,38238.96,1
43,0.0,37250.61,1
44,-0.005,38325.31,0
45,0.0,39214.93,1
46,0.0,39116.35,1
47,-0.005,37697.69,2
48,0.0,43169.33,1
49,-0.005,44423.47,2
50,-0.005,43892.99,2
51,-0.005,42454.0,2
52,-0.005,39148.66,0
53,-0.005,39397.97,0
54,0.0,38410.02,1
55,0.0,38002.97,1
56,-0.005,38727.23,2
57,-0.005,41942.66,2
58,-0.005,39421.99,0
59,-0.005,38729.6,2
60,-0.005,38809.95,0
61,-0.005,37774.94,2
62,-0.005,39671.33,2
63,-0.005,39280.36,0
64,-0.005,41115.45,2
65,0.0,40913.06,1
66,-0.005,41759.66,2
67,-0.005,42206.03,0
68,0.0,41258.39,1
69,-0.005,41004.76,2
70,-0.005,42361.97,2
71,-0.005,42884.03,0
72,-0.005,43991.51,2
73,-0.005,44313.17,0
74,-0.005,44511.26,0
75,0.0,46827.77,1
76,0.0,47122.2,1
77,-0.005,47434.8,2
78,-0.005,47067.12,2
79,-0.005,45510.34,2
80,-0.005,46280.5,2
81,-0.005,45811.0,2
82,0.0,46407.36,1
83,-0.005,46582.21,2
84,-0.005,45497.54,2
85,-0.005,43178.86,0
86,-0.005,43455.21,0
87,-0.005,42257.35,0
88,-0.005,42753.97,0
89,-0.005,42154.6,2
90,0.0,39530.45,1
91,-0.005,40074.94,0
92,-0.005,41147.79,0
93,-0.005,39942.36,2
94,-0.005,40547.85,2
95,0.0,40378.7,1
96,-0.005,39678.12,2
97,-0.005,40801.14,2
98,-0.005,41493.19,2
99,0.0,41361.6,1
100,-0.005,40480.4,0
101,-0.005,39709.19,0
102,-0.005,39441.6,0
103,0.0,39450.12,1
104,0.0,40426.09,1
105,0.0,38112.64,1
106,-0.005,39235.72,2
107,0.0,39742.08,1
108,-0.005,38599.98,2
109,-0.005,37630.8,2
110,-0.005,38469.11,0
111,0.0,38524.4,1
112,0.0,37728.94,1
113,-0.005,39690.02,2
114,-0.005,36552.98,0
115,0.0,36013.76,1
116,-0.005,35472.41,2
117,-0.005,34035.01,2
118,0.0,30090.73,1
119,0.0,31017.1,1
120,-0.005,29121.64,2
121,-0.005,29027.16,0
122,-0.005,29284.01,2
123,-0.005,30086.57,2
124,-0.005,31329.5,2
125,-0.005,29866.96,2
126,-0.005,30443.99,2
127,0.0,28714.84,1
128,-0.005,30319.22,2
129,-0.005,29202.01,2
130,-0.005,29452.34,2
131,-0.005,30296.21,2
132,-0.005,29097.85,2
133,-0.005,29654.6,2
134,-0.005,29542.4,0
135,-0.005,29222.22,2
136,-0.005,28624.76,2
137,-0.005,29039.21,0
138,-0.005,29468.09,2
139,-0.005,31720.87,2
140,-0.005,31787.62,0
141,0.0,29800.54,1
142,-0.005,30461.95,2
143,-0.005,29700.29,2
144,-0.005,29864.98,2
145,-0.005,29917.92,2
146,-0.005,31373.69,2
147,-0.005,31130.5,2
148,-0.005,30206.7,2
149,-0.005,30105.97,2
150,-0.005,29089.65,2
151,-0.005,28415.32,0
152,-0.005,26575.51,0
153,-0.005,22484.81,2
154,0.0,22133.1,1
155,-0.005,22582.08,2
156,-0.005,20401.9,2
157,-0.005,20468.8,2
158,-0.005,18970.77,0
159,-0.005,20576.7,2
160,0.0,20573.88,1
161,-0.005,20726.79,2
162,-0.005,19984.0,2
163,-0.005,21105.56,2
164,-0.005,21234.47,0
165,-0.005,21491.65,2
166,-0.005,21045.67,0
167,-0.005,20739.72,2
168,-0.005,20278.52,0
169,-0.005,20120.8,2
170,-0.005,19947.18,0
171,-0.005,19279.12,2
172,-0.005,19251.81,0
173,-0.005,19314.82,2
174,-0.005,20232.83,0
175,-0.005,20180.7,0
176,-0.005,20565.79,0
177,-0.005,21620.93,0
178,-0.005,21601.52,0
179,-0.005,21592.43,2
180,-0.005,20862.86,2
181,-0.005,19963.52,0
182,-0.005,19331.59,2
183,-0.005,20238.34,2
184,-0.005,20590.81,2
185,-0.005,20836.86,2
186,-0.005,21197.99,2
187,0.0,20799.38,1
188,0.0,22446.45,1
189,-0.005,23398.53,2
190,-0.005,23224.2,0
191,-0.005,23150.93,0
192,-0.005,22682.76,2
193,-0.005,22448.79,0
194,-0.005,22580.93,0
195,-0.005,21307.13,2
196,-0.005,21248.14,2
197,-0.005,22953.38,2
198,-0.005,23846.55,2
199,-0.005,23775.06,2
200,-0.005,23640.76,2
201,-0.005,23294.88,2
202,0.0,23266.69,1
203,-0.005,22988.99,2
204,-0.005,22821.79,2
205,0.0,22620.86,1
206,-0.005,23311.0,2
207,-0.005,22952.66,2
208,0.0,23174.19,1
209,-0.005,23813.52,0
210,-0.005,23149.93,2
211,-0.005,23953.09,2
212,-0.005,23933.72,2
213,0.0,24401.08,1
214,-0.005,24443.06,2
215,-0.005,24306.16,2
216,-0.005,24097.09,2
217,-0.005,23855.58,2
218,-0.005,23338.95,2
219,-0.005,23193.13,2
220,-0.005,20832.54,2
221,-0.005,21139.41,0
222,-0.005,21517.41,2
223,-0.005,21400.7,0
224,-0.005,21524.54,2
225,-0.005,21368.55,2
226,-0.005,21563.91,2
227,-0.005,20245.45,2
228,0.0,20036.43,1
229,-0.005,19559.77,2
230,-0.005,20288.71,0
231,-0.005,19802.29,2
232,0.0,20049.68,1
233,-0.005,20131.02,0
234,-0.005,19949.22,0
235,-0.005,19831.6,0
236,-0.005,20003.48,2
237,-0.005,19794.0,2
238,-0.005,18789.66,2
239,0.0,19288.83,1
240,-0.005,19318.5,2
241,-0.005,21358.95,0
242,-0.005,21650.41,2
243,-0.005,21831.59,0
244,-0.005,22397.75,2
245,-0.005,20170.64,2
246,0.0,20220.86,1
247,-0.005,19700.33,2
248,-0.005,19804.15,2
249,-0.005,20111.89,0
250,-0.005,19414.58,0
251,-0.005,19536.26,0
252,-0.005,18874.21,0
253,-0.005,18462.18,0
254,-0.005,19399.77,2
255,-0.005,19287.88,2
256,-0.005,18921.26,2
257,-0.005,18810.35,2
258,-0.005,19226.0,2
259,-0.005,19080.13,0
260,-0.005,19414.09,0
261,-0.005,19588.35,0
262,-0.005,19420.7,2
263,-0.005,19306.96,2
264,-0.005,19056.27,2
265,-0.005,19627.03,0
266,-0.005,20329.81,2
267,-0.005,20156.61,0
268,-0.005,19962.98,2
269,-0.005,19525.39,2
270,-0.005,19413.49,2
271,-0.005,19443.96,0
272,-0.005,19131.37,2
273,-0.005,19055.69,0
274,-0.005,19156.55,2
275,-0.005,19375.58,0
276,-0.005,19177.67,0
277,-0.005,19069.71,2
278,-0.005,19267.0,0
279,-0.005,19547.01,2
280,-0.005,19327.18,2
281,-0.005,19124.55,2
282,-0.005,19041.91,0
283,-0.005,19161.86,2
284,0.0,19198.82,1
285,-0.005,19567.91,0
286,-0.005,19333.71,2
287,-0.005,20081.65,0
288,-0.005,20769.24,2
289,0.0,20284.81,1
290,-0.005,20593.05,0
291,-0.005,20809.41,2
292,-0.005,20626.25,2
293,-0.005,20491.01,0
294,-0.005,20484.48,0
295,-0.005,20151.3,2
296,-0.005,20207.92,0
297,-0.005,21144.35,0
298,-0.005,21298.67,0
299,0.0,20909.54,1
300,-0.005,20588.72,0
301,-0.005,18544.85,0
302,-0.005,15914.31,2
303,-0.005,17602.43,2
304,-0.005,17051.1,0
305,-0.005,16803.53,2
306,-0.005,16332.58,2
307,-0.005,16616.67,2
308,-0.005,16898.13,2
309,-0.005,16662.13,2
310,-0.005,16694.11,0
311,-0.005,16698.08,2
312,0.0,16706.23,1
313,-0.005,16287.14,0
314,0.0,15778.69,1
315,-0.005,16222.14,0
316,-0.005,16607.84,2
317,-0.005,16598.9,0
318,-0.005,16529.27,0
319,-0.005,16455.03,2
320,-0.005,16427.99,0
321,0.0,16214.19,1
322,-0.005,16441.83,0
323,0.0,17165.51,1
324,-0.005,16978.21,0
325,-0.005,17092.93,2
326,-0.005,16883.8,0
327,-0.005,17111.01,0
328,-0.005,16964.29,2
329,-0.005,17086.41,0
330,-0.005,16835.81,0
331,-0.005,17224.8,2
332,-0.005,17129.52,2
333,-0.005,17126.06,2
334,-0.005,17091.48,2
335,-0.005,17210.7,0
336,-0.005,17775.88,2
337,-0.005,17799.93,2
338,-0.005,17358.0,2
339,-0.005,16631.94,0
340,-0.005,16775.85,2
341,-0.005,16738.72,2
342,-0.005,16441.58,0
343,-0.005,16895.72,2
344,-0.005,16829.26,2
345,-0.005,16822.47,2
346,-0.005,16779.45,2
347,0.0,16834.55,1
348,-0.005,16831.32,2
349,-0.005,16916.77,2
350,-0.005,16705.47,2
351,0.0,16546.52,1
352,-0.005,16636.0,0
353,0.0,16608.02,1
354,-0.005,16541.26,0
355,-0.005,16617.0,2
356,-0.005,16673.32,2
357,-0.005,16674.3,0
358,-0.005,16850.41,0
359,-0.005,16831.72,0
360,0.0,16950.67,1
361,-0.005,16943.59,2
362,-0.005,17128.31,2
363,0.0,17178.31,1
364,-0.005,17440.12,2
365,-0.005,17942.41,2
366,-0.005,18850.01,2
367,-0.005,19929.62,2
368,-0.005,20953.35,0
369,-0.005,20872.5,2
370,-0.005,21185.55,2
371,-0.005,21134.66,2
372,-0.005,20679.41,2
373,-0.005,21073.2,0
374,-0.005,22669.11,0
375,-0.005,22780.31,0
376,-0.005,22708.48,0
377,-0.005,22912.95,2
378,-0.005,22633.28,2
379,-0.005,23057.58,0
380,-0.005,23007.23,0
381,-0.005,23072.46,2
382,-0.005,23021.85,2
383,-0.005,23747.03,0
384,-0.005,22827.54,2
385,-0.005,23130.07,2
386,-0.005,23731.4,2
387,-0.005,23487.08,0
388,-0.005,23431.73,2
389,-0.005,23327.32,2
390,-0.005,22928.72,0
391,-0.005,22761.88,0
392,-0.005,23243.64,0
393,-0.005,22960.73,2
394,-0.005,21797.17,2
395,-0.005,21633.78,2
396,-0.005,21860.86,0
397,0.0,21784.39,1
398,-0.005,21774.25,0
399,-0.005,22202.76,0
400,-0.005,24327.98,0
401,-0.005,23511.81,2
402,-0.005,24573.38,2
403,-0.005,24632.15,2
404,-0.005,24278.24,2
405,-0.005,24841.69,2
406,-0.005,24451.98,2
407,-0.005,24182.92,2
408,-0.005,23937.74,2
409,-0.005,23184.48,2
410,-0.005,23164.25,0
411,-0.005,23555.9,0
412,-0.005,23492.78,2
413,0.0,23141.46,1
414,-0.005,23633.88,2
415,-0.005,23464.98,0
416,-0.005,22354.37,2
417,-0.005,22346.7,2
418,0.0,22429.42,1
419,-0.005,22408.85,2
420,-0.005,22198.4,0
421,-0.005,21704.03,0
422,-0.005,20361.01,0
423,-0.005,20151.4,2
424,-0.005,20458.41,2
425,-0.005,21995.43,2
426,-0.005,24107.64,2
427,-0.005,24674.77,2
428,-0.005,24284.73,2
429,-0.005,25002.0,0
430,-0.005,27384.78,2
431,-0.005,26907.5,2
432,-0.005,27966.67,2
433,-0.005,27721.39,2
434,-0.005,28107.3,0
435,-0.005,27251.05,2
436,-0.005,28295.26,0
437,-0.005,27444.7,2
438,-0.005,27468.53,0
439,-0.005,27968.15,2
440,-0.005,27124.14,2
441,-0.005,27260.96,2
442,0.0,28348.58,1
443,0.0,28028.54,1
444,-0.005,28465.68,2
445,-0.005,28453.34,2
446,-0.005,28171.43,2
447,-0.005,27801.61,2
448,-0.005,28165.77,2
449,-0.005,28171.89,2
450,0.0,28034.11,1
451,-0.005,27906.45,2
452,-0.005,27938.47,0
453,-0.005,28322.81,2
454,-0.005,29637.2,2
455,-0.005,30199.91,2
456,-0.005,29888.27,2
457,-0.005,30375.59,2
458,0.0,30466.97,1
459,-0.005,30295.01,2
460,0.0,30307.29,1
461,-0.005,29429.92,2
462,-0.005,30380.16,2
463,-0.005,28809.79,2
464,-0.005,28243.94,2
465,-0.005,27262.95,0
466,-0.005,27812.99,2
467,-0.005,27590.46,0
468,-0.005,27511.13,2
469,-0.005,28300.8,0
470,-0.005,28415.3,0
471,-0.005,29472.78,2
472,-0.005,29311.7,2
473,0.0,29230.45,1
474,-0.005,29219.22,2
475,-0.005,28068.27,2
476,-0.005,28669.86,2
477,-0.005,29026.15,0
478,-0.005,28838.16,2
479,-0.005,42730.0,0
480,-0.005,43905.83,2
481,-0.005,42505.92,2
482,-0.005,43059.96,0
483,-0.005,43078.45,2
484,-0.005,43069.51,2
485,-0.005,42201.99,2
486,-0.005,42352.18,2
487,0.0,41663.81,1
488,-0.005,40704.32,0
489,-0.005,36455.47,0
490,-0.005,35070.35,2
491,-0.005,36251.6,2
492,0.0,36669.17,1
493,-0.005,36950.75,2
494,0.0,36796.91,1
495,0.0,37165.95,1
496,-0.005,37716.57,2
497,-0.005,38167.4,2
498,-0.005,37896.8,0
499,-0.005,38463.88,0
500,-0.005,38695.22,2
501,0.0,36893.08,1
502,-0.005,37310.29,2
503,-0.005,41560.38,0
504,0.0,41382.6,1
505,0.0,42381.72,1
506,0.0,43825.72,1
507,0.0,44032.87,1
508,0.0,44374.57,1
509,-0.005,43494.01,2
510,-0.005,42373.59,2
511,-0.005,42214.01,0
512,-0.005,42050.67,2
513,-0.005,42531.87,0
514,-0.005,44544.44,2
515,-0.005,43873.96,2
516,-0.005,40512.64,2
517,-0.005,39974.83,2
518,-0.005,40080.53,2
519,0.0,38381.48,1
520,-0.005,37011.07,2
521,-0.005,38238.96,2
522,-0.005,37250.61,2
523,0.0,38325.31,1
524,-0.005,39214.93,2
525,0.0,39116.35,1
526,-0.005,37697.69,2
527,-0.005,43169.33,0
528,0.0,44423.47,1
529,-0.005,43892.99,2
530,-0.005,42454.0,0
531,-0.005,39148.66,2
532,-0.005,39397.97,2
533,-0.005,38410.02,2
534,-0.005,38002.97,2
535,-0.005,38727.23,2
536,-0.005,41942.66,0
537,-0.005,39421.99,2
538,-0.005,38729.6,0
539,-0.005,38809.95,2
540,0.0,37774.94,1
541,-0.005,39671.33,2
542,-0.005,39280.36,2
543,-0.005,41115.45,0
544,-0.005,40913.06,2
545,-0.005,41759.66,2
546,-0.005,42206.03,2
547,-0.005,41258.39,2
548,-0.005,41004.76,0
549,-0.005,42361.97,2
550,-0.005,42884.03,0
551,-0.005,43991.51,2
552,0.0,44313.17,1
553,-0.005,44511.26,0
554,-0.005,46827.77,0
555,0.0,47122.2,1
556,-0.005,47434.8,2
557,-0.005,47067.12,2
558,-0.005,45510.34,2
559,-0.005,46280.5,0
560,-0.005,45811.0,2
561,0.0,46407.36,1
562,-0.005,46582.21,2
563,-0.005,45497.54,2
564,-0.005,43178.86,2
565,0.0,43455.21,1
566,-0.005,42257.35,2
567,-0.005,42753.97,2
568,0.0,42154.6,1
569,-0.005,39530.45,2
570,-0.005,40074.94,2
571,-0.005,41147.79,2
572,0.0,39942.36,1
573,-0.005,40547.85,2
